x,dp_u,dp_l
0,961.8785722,961.8785722
9,-3847.514289,201.9945002
18,-6444.586434,-269.3260002
27,-3943.702147,-384.7514289
36,-2404.696431,-384.7514289
45,-1827.569288,-365.5138574
54,-1539.005716,-327.0387146
63,-1346.630001,-278.944786
72,-1115.779144,-250.0884288
81,-961.8785722,-192.3757144
90,-817.5967864,-173.138143
99,-673.3150005,-105.806643
108,-577.1271433,-76.95028578
117,-480.9392861,-9.618785722
126,-384.7514289,48.09392861
135,-288.5635717,96.18785722
144,-192.3757144,144.2817859
153,-96.18785722,192.3757144
162,96.18785722,384.7514289
171,384.7514289,577.1271433
180,865.690715,865.690715
